Peak Number,Amplitude,Period (ns),Frequency (Hz),Energy (eV), Photons Flux in J/s
235,57,0.0006000063158559665,9999894736841.936,1.0503758,8.178015257873069e+21
236,56,0.0006000063158559388,9999894736842.398,1.0510913,7.893584440962992e+21
237,70,0.001200012631711933,4999947368420.968,1.0510913,2.4667451378010486e+22
238,65,0.0012000126317119053,4999947368421.084,1.0510913,2.1269384096345286e+22
239,52,0.0010000105264265924,5999936842105.272,1.0510913,1.134367151805087e+22
240,66,0.0006000063158559665,9999894736841.936,1.0412113,1.096443042883813e+22
241,56,0.0006000063158559388,9999894736842.398,1.0405002,7.893584440962992e+21
242,55,0.0004000042105706536,14999842105262.557,0.3970120,5.076125198536289e+21
243,49,0.00040000421057062585,14999842105263.598,0.3948609,4.0290170584081933e+21
244,52,0.0004000042105706536,14999842105262.557,0.3965586,4.537468607220537e+21
245,65,0.00040000421057062585,14999842105263.598,0.3951186,7.089794698781598e+21
246,58,0.0008000084211412795,7499921052631.539,0.3951186,1.1289973664711063e+22
247,66,0.00040000421057062585,14999842105263.598,0.3948342,7.30962028589175e+21
248,70,0.0010000105264265924,5999936842105.272,0.3948342,2.0556209481675025e+22
249,68,0.0004000042105706536,14999842105262.557,0.3938431,7.759339807613819e+21
250,63,0.0006000063158559388,9999894736842.398,1.0326380,9.990317808093785e+21
251,49,0.0008000084211412795,7499921052631.539,1.0326380,8.058034116816666e+21
252,49,0.0004000042105706536,14999842105262.557,0.4009009,4.029017058408473e+21
253,80,0.0006000063158559388,9999894736842.398,1.0441535,1.6109356001965287e+22
254,69,0.0010000105264265924,5999936842105.272,1.0441535,1.99730843555622e+22
255,76,0.0006000063158559665,9999894736841.936,1.0437002,1.4538693791774344e+22
256,60,0.00040000421057062585,14999842105263.598,0.4015542,6.041008500736983e+21
257,58,0.0004000042105706536,14999842105262.557,0.4009631,5.644986832355728e+21
258,58,0.00040000421057062585,14999842105263.598,0.4023720,5.644986832355336e+21
259,69,0.0010000105264265924,5999936842105.272,0.4023720,1.99730843555622e+22
260,54,0.0012000126317119053,4999947368421.084,0.4023720,1.4679650656791206e+22
261,64,0.0006000063158559665,9999894736841.936,1.0394380,1.030998784125826e+22
262,74,0.0006000063158559665,9999894736841.936,1.0353002,1.3783567729182185e+22
263,61,0.0006000063158559388,9999894736842.398,1.0335847,9.366080263017631e+21
264,64,0.0006000063158559665,9999894736841.936,1.0304824,1.030998784125826e+22
265,68,0.0006000063158559665,9999894736841.936,1.0310557,1.1639009711420458e+22
266,52,0.0006000063158559388,9999894736842.398,1.0207847,6.806202910830334e+21
267,52,0.0004000042105706536,14999842105262.557,0.3819453,4.537468607220537e+21
268,53,0.0008000084211412795,7499921052631.539,0.3819453,9.427329376983762e+21
269,54,0.00040000421057062585,14999842105263.598,0.3708120,4.893216885596956e+21
270,61,0.0006000063158559665,9999894736841.936,1.0100780,9.366080263018064e+21
271,54,0.00040000421057062585,14999842105263.598,0.3640653,4.893216885596956e+21
272,54,0.0010000105264265924,5999936842105.272,0.3640653,1.2233042213992728e+22
273,66,0.0004000042105706536,14999842105262.557,0.3588564,7.309620285892256e+21
274,52,0.0008000084211412517,7499921052631.799,0.3588564,9.074937214440445e+21
275,55,0.0004000042105706536,14999842105262.557,0.3660742,5.076125198536289e+21
276,83,0.0006000063158559388,9999894736842.398,1.0044158,1.7340211483990448e+22
277,69,0.0006000063158559665,9999894736841.936,0.9991135,1.1983850613337544e+22
278,70,0.00040000421057062585,14999842105263.598,0.3534920,8.222483792669783e+21
279,75,0.0006000063158559665,9999894736841.936,0.9896558,1.4158613673602957e+22
280,61,0.0004000042105706536,14999842105262.557,0.3419142,6.244053508678853e+21
